feature,score,selected
N,3.0660909830893252e+16,True
NK_ratio,2.9227818161724908e+16,True
ph,2028.5068549448515,True
rainfall,66.89807572787002,True
temperature,37.17283149901585,True
NPK_sum,-4.613689376780668e+16,True
PK_ratio,-5.164166529242121e+16,True
K,-8.36206631751639e+16,True
NP_ratio,-1.009025440565539e+17,True
P,-4.5991364746340186e+17,True
ph_acidic,,False
ph_neutral,,False
ph_alkaline,,False
temp_cold,,False
temp_moderate,,False
temp_warm,,False
temp_hot,,True
rainfall_low,,True
rainfall_moderate,,True
rainfall_high,,True
rainfall_very_high,,True
